================================================================================
RELATORIO DE BIOSSEGURANCA - RNAi
================================================================================
GENE ID                                  | CITRUS     | HUMAN      | BEE       
================================================================================
lcl|SDAQ01000001.1_cds_KAI3559026.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559027.1_2    | [RISK]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559028.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559029.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559030.1_5    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559031.1_6    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559032.1_7    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559033.1_8    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559034.1_9    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559035.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559036.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559037.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559038.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559039.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559040.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559041.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559042.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559043.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559044.1_1    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559045.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559046.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559047.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559048.1_2    | [RISK]     | [RISK]     | [RISK]     | 
lcl|SDAQ01000001.1_cds_KAI3559049.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559050.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559051.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559052.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559053.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559054.1_2    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559055.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559056.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559057.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559058.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559059.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559060.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559061.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559062.1_3    | [SAFE]     | [RISK]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559063.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559064.1_3    | [SAFE]     | [SAFE]     | [SAFE]     | 
lcl|SDAQ01000001.1_cds_KAI3559065.1_4    | [SAFE]     | [SAFE]     | [SAFE]     | 
