GeneID;Citrus;Human;Bee;Global_Status
lcl|SDAQ01000001.1_cds_KAI3559026.1_1;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559027.1_2;RISK;SAFE;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559028.1_3;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559029.1_4;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559030.1_5;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559031.1_6;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559032.1_7;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559033.1_8;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559034.1_9;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559035.1_10;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559036.1_11;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559037.1_12;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559038.1_13;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559039.1_14;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559040.1_15;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559041.1_16;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559042.1_17;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559043.1_18;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559044.1_19;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559045.1_20;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559046.1_21;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559047.1_22;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559048.1_23;RISK;RISK;RISK;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559049.1_24;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559050.1_25;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559051.1_26;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559052.1_27;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559053.1_28;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559054.1_29;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559055.1_30;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559056.1_31;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559057.1_32;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559058.1_33;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559059.1_34;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559060.1_35;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559061.1_36;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559062.1_37;SAFE;RISK;SAFE;REJECTED
lcl|SDAQ01000001.1_cds_KAI3559063.1_38;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559064.1_39;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559065.1_40;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559066.1_41;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559067.1_42;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559068.1_43;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559069.1_44;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559070.1_45;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559071.1_46;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559072.1_47;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559073.1_48;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559074.1_49;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559075.1_50;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559076.1_51;SAFE;SAFE;SAFE;APPROVED
lcl|SDAQ01000001.1_cds_KAI3559077.1_52;SAFE;SAFE;SAFE;APPROVED
