CATEGORIA	ID	GC_CONTENT	DESCRICAO
PLATINUM	lcl|SDAQ01000083.1_cds_KAI3541540.1_10744	59.0	lcl|SDAQ01000083.1_cds_KAI3541540.1_10744 [locus_tag=CABS02_10714] [protein=translation elongation factor Tu] [protein_id=KAI3541540.1] [location=join(100238..100412,100474..100502,100571..101704)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000016.1_cds_KAI3555617.1_3992	58.7	lcl|SDAQ01000016.1_cds_KAI3555617.1_3992 [locus_tag=CABS02_03993] [protein=scytalone dehydratase] [protein_id=KAI3555617.1] [location=complement(join(36521..36964,37036..37133,37189..37222))] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000074.1_cds_KAI3543065.1_10219	58.4	lcl|SDAQ01000074.1_cds_KAI3543065.1_10219 [locus_tag=CABS02_10189] [protein=translation elongation factor EF-1] [protein_id=KAI3543065.1] [location=join(132861..133010,133066..133189,133300..134372,134435..134470)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000020.1_cds_KAI3555019.1_4857	56.8	lcl|SDAQ01000020.1_cds_KAI3555019.1_4857 [locus_tag=CABS02_04858] [protein=PKSN polyketide synthase for alternapyrone biosynthesis protein] [protein_id=KAI3555019.1] [location=join(426299..426514,426589..426681,426739..426790,426854..427122,427227..427589,427667..428699,428761..434048)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000125.1_cds_KAI3536226.1_12604	56.3	lcl|SDAQ01000125.1_cds_KAI3536226.1_12604 [locus_tag=CABS02_12601] [protein=stress-activated map kinase-interacting protein] [protein_id=KAI3536226.1] [location=complement(join(41650..41766,41837..44105,44161..44183))] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000100.1_cds_KAI3539126.1_11577	55.6	lcl|SDAQ01000100.1_cds_KAI3539126.1_11577 [locus_tag=CABS02_11547] [protein=chitin synthase export chaperone] [protein_id=KAI3539126.1] [location=join(157409..157649,157708..158279,158334..158531)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000038.1_cds_KAI3551757.1_7200	55.5	lcl|SDAQ01000038.1_cds_KAI3551757.1_7200 [locus_tag=CABS02_07203] [protein=translation elongation factor G] [protein_id=KAI3551757.1] [location=join(192476..192655,192712..192772,192898..195113)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000001.1_cds_KAI3559674.1_649	54.7	lcl|SDAQ01000001.1_cds_KAI3559674.1_649 [locus_tag=CABS02_00649] [protein=elongation factor 1-gamma] [protein_id=KAI3559674.1] [location=join(2205989..2206065,2206133..2206293,2206350..2206648,2206754..2206851,2207782..2208000,2208053..2208266,2208320..2209325,2209377..2209450,2209512..2210012)] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000196.1_cds_KAI3530860.1_14364	54.2	lcl|SDAQ01000196.1_cds_KAI3530860.1_14364 [locus_tag=CABS02_14362] [protein=chitin synthase 4] [protein_id=KAI3530860.1] [location=complement(join(16600..17033,17087..20339))] [gbkey=CDS]
PLATINUM	lcl|SDAQ01000110.1_cds_KAI3537946.1_11987	54.1	lcl|SDAQ01000110.1_cds_KAI3537946.1_11987 [locus_tag=CABS02_11951] [protein=chitin synthase] [protein_id=KAI3537946.1] [location=complement(join(82264..82416,82480..82769,82834..82921,82975..83230,83922..84055,84112..86637,86707..86787))] [gbkey=CDS]
